id,degree,Y
1,3,0
2,9,0
3,6,0
4,3,0
5,3,0
6,9,0
7,6,1
8,4,0
9,3,1
10,8,0
11,3,1
12,4,1
13,3,0
14,8,0
15,7,0
16,5,0
17,10,0
18,4,0
19,6,1
20,5,0
21,5,0
22,8,0
23,4,0
24,6,0
25,4,0
26,6,0
27,5,0
28,8,1
29,8,0
30,2,0
31,11,0
32,8,0
33,5,1
34,6,1
35,7,0
36,7,0
37,4,0
38,11,0
39,2,0
40,6,0
41,6,0
42,9,0
43,4,1
44,9,0
45,12,0
46,10,0
47,8,0
48,7,1
49,5,0
50,5,0
51,4,1
52,6,0
53,3,0
54,5,0
55,11,1
56,7,1
57,6,0
58,5,1
59,4,0
60,7,0
61,11,0
62,7,0
63,4,1
64,4,0
65,8,1
66,10,0
67,4,0
68,5,0
69,5,0
70,9,0
71,7,0
72,4,0
73,8,0
74,6,0
75,5,0
76,7,0
77,5,0
78,5,0
79,5,0
80,5,0
81,3,0
82,4,1
83,3,0
84,8,0
85,5,1
86,9,0
87,3,1
88,6,0
89,8,0
90,7,0
91,4,0
92,9,0
93,4,0
94,8,0
95,10,0
96,7,0
97,9,0
98,5,0
99,4,0
100,8,0
101,4,0
102,13,0
103,9,0
104,3,1
105,5,0
106,5,0
107,5,0
108,5,1
109,6,0
110,5,0
111,7,0
112,6,0
113,15,0
114,7,0
115,6,0
116,4,0
117,4,0
118,5,0
119,5,0
120,9,0
121,3,0
122,3,1
123,8,0
124,4,0
125,4,0
126,5,0
127,8,0
128,6,1
129,9,1
130,6,0
131,7,0
132,2,0
133,14,0
134,7,0
135,7,0
136,8,1
137,5,0
138,6,0
139,5,0
140,2,0
141,8,0
142,9,0
143,11,1
144,6,0
145,14,1
146,6,0
147,9,0
148,8,1
149,3,0
150,5,1
151,5,0
152,5,0
153,9,0
154,6,1
155,6,0
156,3,0
157,5,0
158,6,0
159,6,1
160,5,1
161,3,0
162,4,0
163,8,0
164,7,0
165,11,1
166,4,0
167,5,0
168,6,0
169,8,0
170,5,0
171,5,0
172,7,0
173,4,0
174,5,0
175,3,0
176,6,0
177,4,0
178,2,0
179,12,0
180,6,0
181,3,0
182,4,0
183,5,0
184,7,0
185,9,0
186,5,0
187,8,0
188,9,1
189,3,0
190,4,1
191,7,1
192,4,0
193,14,0
194,4,0
195,4,1
196,2,0
197,9,0
198,6,1
199,4,0
200,3,0
201,2,1
202,7,0
203,2,0
204,4,0
205,5,0
206,6,0
207,11,0
208,8,0
209,3,0
210,4,0
211,6,0
212,6,0
213,11,1
214,8,0
215,8,1
216,2,0
217,7,0
218,4,0
219,6,0
220,5,0
221,4,1
222,3,0
223,9,0
224,8,1
225,6,1
226,8,0
227,5,0
228,7,0
229,6,0
230,5,0
231,5,0
232,5,0
233,8,0
234,7,0
235,7,0
236,4,0
237,4,0
238,6,0
239,5,0
240,10,0
241,8,0
242,3,0
243,12,0
244,8,1
245,7,0
246,2,0
247,7,0
248,5,1
249,4,0
250,4,0
251,3,0
252,8,0
253,8,0
254,4,0
255,6,1
256,7,0
257,3,0
258,3,0
259,3,0
260,5,0
261,3,0
262,6,0
263,7,1
264,5,0
265,6,1
266,7,0
267,7,1
268,1,0
269,6,0
270,9,0
271,4,0
272,9,0
273,7,0
274,8,0
275,4,1
276,6,0
277,4,0
278,7,0
279,4,0
280,14,0
281,2,0
282,6,0
283,5,0
284,7,0
285,8,0
286,3,0
287,8,0
288,7,1
289,8,0
290,2,0
291,4,1
292,8,0
293,4,0
294,6,1
295,9,0
296,8,1
297,10,0
298,9,0
299,7,0
300,4,0
301,3,0
302,6,0
303,3,0
304,6,0
305,6,0
306,5,0
307,8,0
308,13,0
309,6,0
310,7,0
311,4,0
312,7,0
313,3,1
314,3,0
315,5,0
316,7,0
317,7,0
318,6,0
319,4,1
320,6,0
321,7,0
322,5,0
323,1,0
324,6,1
325,5,0
326,10,1
327,9,0
328,7,1
329,5,0
330,5,0
331,12,1
332,3,0
333,5,0
334,10,0
335,2,0
336,5,0
337,4,0
338,11,0
339,7,0
340,5,1
341,4,0
342,6,0
343,8,0
344,7,0
345,2,1
346,3,0
347,5,0
348,8,0
349,8,0
350,3,0
351,6,0
352,6,0
353,4,0
354,5,1
355,10,0
356,6,0
357,2,0
358,4,0
359,3,1
360,9,0
361,9,0
362,6,0
363,5,0
364,5,1
365,8,0
366,8,0
367,11,0
368,2,1
369,11,0
370,2,0
371,9,0
372,9,0
373,6,0
374,4,0
375,6,0
376,9,0
377,6,1
378,6,0
379,9,1
380,8,0
381,7,0
382,10,0
383,8,0
384,4,0
385,10,1
386,6,0
387,11,0
388,8,0
389,4,1
390,3,0
391,8,0
392,5,0
393,8,0
394,2,0
395,4,0
396,9,0
397,3,0
398,9,0
399,7,0
400,8,0
401,9,1
402,9,1
403,7,0
404,5,0
405,3,1
406,6,1
407,4,0
408,11,0
409,3,0
410,6,0
411,10,0
412,5,0
413,11,0
414,4,1
415,8,0
416,8,0
417,7,0
418,4,0
419,12,0
420,7,0
421,4,0
422,6,1
423,12,0
424,5,0
425,8,0
426,5,0
427,8,0
428,8,1
429,6,1
430,12,0
431,3,0
432,5,0
433,7,0
434,7,0
435,10,0
436,2,1
437,3,0
438,7,1
439,9,0
440,5,0
441,11,1
442,6,0
443,3,1
444,6,0
445,5,0
446,3,0
447,13,0
448,7,0
449,7,0
450,6,1
451,7,0
452,6,0
453,5,0
454,4,0
455,8,0
456,2,0
457,8,0
458,6,0
459,5,0
460,5,1
461,7,0
462,7,0
463,10,1
464,5,0
465,12,0
466,9,1
467,4,0
468,6,0
469,2,0
470,6,0
471,5,0
472,6,1
473,4,0
474,6,1
475,5,0
476,5,0
477,11,0
478,10,0
479,4,0
480,3,0
481,11,0
482,6,0
483,4,0
484,4,0
485,9,0
486,6,0
487,7,0
488,8,0
489,5,0
490,1,1
491,9,1
492,7,0
493,8,1
494,7,0
495,13,0
