id,degree,Y,catVar
1,10,0,a
2,2,0,b
3,15,0,b
4,1,0,a
5,30,1,d
6,100,0,b
7,2,0,b
8,2,0,b
9,30,0,b
10,15,1,d
11,8,0,a
12,6,0,b
13,20,0,b
14,40,0,b
15,40,1,d
16,70,0,b
17,150,0,b
18,5,0,b
19,8,0,b
20,7,0,b
21,8,0,b
22,60,1,c
23,50,1,d
24,30,1,c
25,10,0,b
26,4,0,b
27,75,0,b
28,10,0,b
29,20,1,c
30,2,0,b
31,4,0,b
32,10,0,b
33,15,0,a
34,20,0,b
35,3,0,a
36,4,0,b
37,4,0,b
38,11,1,d
39,20,0,a
40,20,0,a
41,10,0,b
42,25,0,b
43,1,1,d
44,5,0,b
45,6,0,a
46,2,0,b
47,250,0,b
48,3,0,a
49,2,0,b
50,7,0,b
51,3,0,b
52,350,1,d
53,9,0,b
54,8,0,b
55,3,0,b
56,7,0,b
57,5,0,b
58,11,0,b
59,6,0,b
60,14,1,d
61,10,0,b
62,2,1,d
63,30,0,b
64,10,0,b
65,60,0,b
66,70,1,c
67,3,1,d
68,20,0,a
69,3,0,b
70,20,0,b
71,1,0,b
72,10,1,d
73,45,1,c
74,4,0,b
75,20,0,b
76,80,0,b
77,1,0,b
78,4,0,a
79,20,1,d
80,25,1,d
81,150,1,d
82,10,0,b
83,25,1,c
84,2,0,b
85,15,0,b
86,1,0,b
87,20,0,a
88,15,0,b
89,80,0,b
90,3,0,a
91,6,0,a
92,6,0,b
93,4,0,b
94,50,0,b
95,135,1,d
96,80,0,a
97,20,0,b
98,10,0,b
99,100,0,a
100,10,0,b
101,2,0,b
102,18,0,a
103,3,0,b
104,40,0,b
105,10,0,b
106,7,0,b
107,1,0,b
108,500,1,d
109,140,1,d
110,5,0,a
111,40,0,b
112,90,1,d
113,5,0,b
114,25,0,b
115,4,0,a
116,10,0,a
117,100,1,d
118,4,0,b
119,15,1,d
120,15,0,a
121,1,0,b
122,4,0,a
123,2,0,a
124,1,0,b
125,4,0,b
126,30,0,a
127,40,0,a
128,10,0,a
129,20,0,b
130,20,0,b
131,4,0,b
132,1,0,b
133,50,1,c
134,4,0,a
135,150,1,c
136,6,0,b
